time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/value_loss,train/entropy_loss,train/n_updates,train/loss,train/approx_kl,train/explained_variance,train/learning_rate,eval/mean_ep_length,eval/mean_reward
,,,,,130000,0.140576171875,-0.01419339133426547,0.2,1.0055640411563218,-1.838710233196616,630,0.42322295904159546,0.0133438725,0.9490324258804321,0.0003,46.0,-21.923333358764648
1444,90,46.06,-24.398444960000003,64,131072,,,,,,,,,,,,
1452,91,46.03,-24.7365468,65,133120,0.129736328125,-0.014084697203361429,0.2,0.736007566517219,-1.8505430065095425,640,0.17142002284526825,0.013983364,0.966321587562561,0.0003,,
1461,92,46.06,-24.402420429999996,66,135168,0.1306640625,-0.014728557466878556,0.2,0.8228705057408661,-1.8580957338213921,650,0.12560401856899261,0.01057636,0.9586092829704285,0.0003,,
1470,93,46.08,-25.466951509999998,67,137216,0.133349609375,-0.011880541383288801,0.2,0.47881013695150615,-1.8273563902825116,660,0.1530246138572693,0.011252988,0.9669087529182434,0.0003,,
1479,94,46.06,-25.14841395,68,139264,0.0958984375,-0.009219210776791442,0.2,1.0417150249704719,-1.847650333121419,670,0.2228875756263733,0.011267306,0.9455159306526184,0.0003,,
,,,,,140000,0.101123046875,-0.009820835513528437,0.2,0.8302026049699635,-1.8596972189843655,680,0.2757933437824249,0.009270113,0.9600023627281189,0.0003,46.0,-22.799999868869783
1488,94,46.05,-25.11433392,69,141312,,,,,,,,,,,,
1497,95,46.03,-25.705458380000003,70,143360,0.1171875,-0.013766241219127551,0.2,0.7482491782400758,-1.8660662814974784,690,0.172681987285614,0.012431693,0.9600763916969299,0.0003,,
1505,96,46.02,-25.571190439999995,71,145408,0.081884765625,-0.01156404962966917,0.2,1.1602542450651527,-1.8445582449436189,700,0.4094850718975067,0.010123542,0.9426737427711487,0.0003,,
1513,97,46.03,-25.517585280000002,72,147456,0.11689453125,-0.013966226522461512,0.2,1.0371298015117645,-1.860726221650839,710,0.23812313377857208,0.010653162,0.9483748078346252,0.0003,,
